3_1	   -1, 3, -2, 1, -3, 2
4_1	    1, -4, 3, -1, 2, -3, 4, -2
5_1	   -1, 4, -2, 5, -3, 1, -4, 2, -5, 3
5_2	   -1, 5, -2, 1, -3, 4, -5, 2, -4, 3
6_1	   -1, 4, -3, 1, -5, 6, -2, 3, -4, 2, -6, 5
6_2	   -1, 4, -3, 1, -2, 6, -5, 3, -4, 2, -6, 5
6_3	    1, -6, 2, -1, 4, -5, 6, -2, 3, -4, 5, -3
7_1	   -1, 5, -2, 6, -3, 7, -4, 1, -5, 2, -6, 3, -7, 4
7_2	   -1, 7, -2, 1, -3, 6, -4, 5, -7, 2, -5, 4, -6, 3
7_3	    1, -6, 2, -7, 5, -1, 3, -4, 6, -2, 7, -5, 4, -3
7_4	    1, -5, 6, -7, 2, -1, 3, -4, 7, -6, 5, -2, 4, -3
7_5	   -1, 7, -2, 1, -3, 5, -4, 6, -7, 2, -6, 3, -5, 4
7_6    -1, 4, -5, 3, -6, 5, -4, 2, -7, 6, -3, 1, -2, 7
7_7    -1, 4, -3, 1, -2, 7, -6, 3, -4, 2, -5, 6, -7, 5
8_1    -1, 4, -3, 1, -5, 8, -6, 7, -2, 3, -4, 2, -7, 6, -8, 5
8_2	   -1, 4, -3, 1, -2, 7, -5, 8, -6, 3, -4, 2, -7, 5, -8, 6
8_3	    1, -6, 4, -5, 3, -1, 7, -8, 2, -3, 5, -4, 6, -2, 8, -7
8_4	    1, -4, 3, -7, 5, -1, 6, -8, 2, -3, 7, -5, 4, -2, 8, -6
8_5	    1, -3, 2, -6, 5, -1, 3, -2, 4, -8, 7, -5, 6, -4, 8, -7
8_6	   -1, 4, -3, 1, -5, 7, -6, 8, -2, 3, -4, 2, -8, 5, -7, 6
8_7	   -1, 8, -2, 1, -4, 6, -5, 7, -8, 2, -3, 4, -6, 5, -7, 3
8_8	   -1, 8, -2, 1, -4, 5, -8, 2, -6, 7, -3, 4, -5, 3, -7, 6
8_9	    1, -4, 3, -6, 5, -1, 2, -8, 7, -3, 6, -5, 4, -2, 8, -7
8_10	 -1, 8, -2, 1, -4, 5, -8, 2, -3, 7, -6, 4, -5, 3, -7, 6
8_11 	-1, 4, -3, 1, -2, 6, -7, 8, -5, 3, -4, 2, -8, 7, -6, 5
8_12 	1, -4, 3, -1, 5, -8, 2, -3, 4, -2, 6, -7, 8, -5, 7, -6
8_13 	-1, 8, -2, 1, -4, 5, -6, 7, -8, 2, -3, 4, -7, 6, -5, 3
8_14 	-1, 4, -3, 1, -2, 8, -5, 3, -4, 2, -6, 7, -8, 5, -7, 6
8_15 	-1, 8, -2, 1, -3, 7, -8, 2, -5, 6, -7, 3, -4, 5, -6, 4
8_16 	1, -8, 5, -6, 2, -1, 4, -5, 6, -7, 3, -4, 8, -2, 7, -3
8_17 	1, -4, 3, -6, 5, -1, 2, -3, 6, -8, 7, -5, 4, -2, 8, -7
8_18 	1, -4, 2, -5, 6, -1, 7, -2, 8, -6, 3, -7, 4, -8, 5, -3
8_19 	1, -8, 2, -1, -4, 5, 8, -2, -3, 7, -6, 4, -5, 3, -7, 6
8_20 	1, -8, 2, -1, -3, 7, 8, -2, -5, 6, -7, 3, -4, 5, -6, 4
8_21 	-1, 8, -2, 1, 3, -7, -8, 2, -5, 6, 7, -3, -4, 5, -6, 4
9_1	    -1, 6, -2, 7, -3, 8, -4, 9, -5, 1, -6, 2, -7, 3, -8, 4, -9, 5
9_2	    -1, 9, -2, 1, -3, 8, -4, 7, -5, 6, -9, 2, -6, 5, -7, 4, -8, 3
9_3	      1, -7, 2, -8, 5, -9, 6, -1, 3, -4, 7, -2, 8, -5, 9, -6, 4, -3
9_4	    -1, 8, -2, 9, -7, 1, -3, 6, -4, 5, -8, 2, -9, 7, -5, 4, -6, 3
9_5	    1, -7, 8, -9, 2, -1, 3, -6, 4, -5, 9, -8, 7, -2, 5, -4, 6, -3
9_6	   -1, 9, -2, 1, -3, 6, -4, 7, -5, 8, -9, 2, -8, 3, -6, 4, -7, 5
9_7	   -1, 9, -2, 1, -3, 5, -4, 8, -6, 7, -9, 2, -7, 6, -8, 3, -5, 4
9_8	   -1, 9, -2, 1, -3, 8, -9, 2, -4, 7, -5, 6, -8, 3, -6, 5, -7, 4
9_9	   -1, 8, -2, 9, -7, 1, -3, 5, -4, 6, -8, 2, -9, 7, -6, 3, -5, 4
9_10 	1, -6, 2, -7, 8, -9, 5, -1, 3, -4, 6, -2, 9, -8, 7, -5, 4, -3
9_11 	-1, 4, -3, 1, -6, 8, -7, 9, -2, 3, -4, 2, -5, 6, -8, 7, -9, 5
9_12 	-1, 4, -5, 3, -8, 6, -7, 5, -4, 2, -9, 7, -6, 8, -3, 1, -2, 9
9_13 	1, -7, 8, -9, 2, -1, 3, -5, 4, -6, 9, -8, 7, -2, 6, -3, 5, -4
9_14 	-1, 4, -3, 1, -2, 9, -7, 8, -6, 3, -4, 2, -5, 6, -8, 7, -9, 5
9_15 	-1, 4, -3, 1, -6, 7, -2, 3, -4, 2, -8, 9, -5, 6, -7, 5, -9, 8
9_16 	1, -9, 2, -1, 3, -5, 4, -8, 7, -6, 9, -2, 8, -7, 6, -3, 5, -4
9_17 	-1, 4, -3, 1, -2, 6, -5, 9, -8, 3, -4, 2, -6, 5, -7, 8, -9, 7
9_18 	-1, 9, -2, 1, -3, 5, -6, 7, -4, 8, -9, 2, -8, 3, -7, 6, -5, 4
9_19 	-1, 4, -3, 1, -2, 7, -6, 3, -4, 2, -8, 9, -5, 6, -7, 5, -9, 8
9_20 	-1, 5, -7, 4, -6, 3, -8, 7, -5, 2, -9, 8, -4, 6, -3, 1, -2, 9
9_21 	-1, 4, -3, 1, -6, 7, -8, 9, -2, 3, -4, 2, -5, 6, -9, 8, -7, 5
9_22 	1, -4, 3, -1, 2, -7, 6, -3, 4, -2, 5, -9, 8, -6, 7, -5, 9, -8
9_23 	-1, 9, -2, 1, -3, 7, -4, 8, -9, 2, -8, 3, -5, 6, -7, 4, -6, 5
9_24 	-1, 9, -2, 1, -3, 8, -9, 2, -4, 6, -5, 7, -8, 3, -7, 4, -6, 5
9_25 	-1, 9, -2, 1, -3, 8, -9, 2, -4, 7, -8, 3, -5, 6, -7, 4, -6, 5
9_26 	-1, 4, -3, 1, -2, 7, -6, 9, -8, 3, -4, 2, -5, 6, -9, 8, -7, 5
9_27 	-1, 9, -2, 1, -4, 7, -6, 8, -9, 2, -3, 4, -5, 6, -7, 5, -8, 3
